營運日, 星期 , 總運量(單位：人次)
2017/9/3,日,"4,326"
2017/9/10,日,"9,859"
2017/9/17,日,"12,248"
2017/9/24,日,"7,698"
2017/10/1,日,"9,993"
2017/10/8,日,"15,851"
2017/10/15,日,"3,347"
2017/10/22,日,"11,876"
2017/10/29,日,"12,786"
2017/11/5,日,"11,104"
2017/11/12,日,"10,458"
2017/11/19,日,"7,523"
2017/11/26,日,"10,025"
2017/12/3,日,"8,652"
2017/12/10,日,"13,209"
2017/12/17,日,"7,198"
2017/12/24,日,"13,340"
2017/12/31,日,"16,385"
2018/1/7,日,"2,698"
2018/1/14,日,"13,629"
2018/1/21,日,"11,665"
2018/1/28,日,"5,657"
2018/2/4,日,"3,185"
2018/2/11,日,"5,899"
2018/2/18,日,"22,998"
2018/2/25,日,"7,245"
2018/3/4,日,"13,402"
2018/3/11,日,"15,112"
2018/3/18,日,"15,195"
2018/3/25,日,"14,568"
2018/4/1,日,"13,273"
2018/4/8,日,"16,137"
2018/4/15,日,"8,211"
2018/4/22,日,"12,484"
2018/4/29,日,"11,737"
2018/5/6,日,"10,885"
2018/5/13,日,"10,483"
2018/6/3,日,"10,095"
2018/6/10,日,"8,045"
2018/6/17,日,"13,348"
2018/6/24,日,"10,689"
2018/7/1,日,"11,370"
2018/7/8,日,"10,334"
2018/7/15,日,"11,917"
2018/7/22,日,"10,473"
2018/7/29,日,"12,199"
2018/8/5,日,"11,466"
2018/8/12,日,"7,601"
2018/8/19,日,"6,736"
2018/8/26,日,"9,855"
2018/9/2,日,"7,661"
2018/9/9,日,"1,371"
2018/9/16,日,441
2018/9/23,日,"7,396"
2018/9/30,日,"14,124"
2018/10/7,日,"11,839"
2018/10/14,日,"12,081"
2018/10/21,日,"14,991"
2018/10/28,日,"12,617"
2018/11/4,日,"12,338"
2018/11/11,日,"13,593"
2018/11/18,日,"12,957"
2018/11/25,日,"11,749"
2018/12/2,日,"13,870"
2018/12/9,日,"8,115"
2018/12/16,日,"12,562"
2018/12/23,日,"7,556"
2018/12/30,日,"12,700"
2019/1/6,日,"4,697"
2019/1/13,日,"10,788"
2019/1/20,日,"9,140"
2019/1/27,日,"10,248"
2019/2/3,日,"10,820"
2019/2/10,日,"13,848"
2019/2/17,日,"12,880"
2019/2/24,日,"3,180"
2019/3/3,日,"6,568"
2019/3/10,日,"6,309"
2019/3/17,日,"14,415"
2019/3/24,日,"6,664"
2019/3/31,日,"10,149"
2019/4/7,日,"15,295"
2019/4/14,日,"12,094"
2019/4/21,日,"11,191"
2019/4/28,日,"12,401"
2015/1/1,四,"20,356"
2015/1/8,四,"4,340"
2015/1/15,四,"4,928"
2015/1/22,四,"7,187"
2015/1/29,四,"9,713"
2015/2/5,四,"6,276"
2015/2/12,四,"10,837"
2015/2/19,四,"23,962"
2015/2/26,四,"10,268"
2015/3/5,四,"4,828"
2015/3/12,四,"3,944"
2015/3/19,四,"8,255"
2015/3/26,四,"3,688"
2015/6/4,四,"5,909"
2015/6/11,四,"6,045"
2015/6/18,四,"5,466"
2015/6/25,四,"3,342"
2015/7/2,四,"4,565"
2015/7/9,四,"3,730"
2015/7/16,四,"7,755"
2015/7/23,四,"2,411"
2015/7/30,四,"4,473"
2015/8/6,四,"7,382"
2015/8/20,四,"9,529"
2015/8/27,四,"2,219"
2015/9/3,四,"7,333"
2015/9/10,四,"6,339"
2015/9/17,四,"7,286"
2015/9/24,四,"5,256"
2015/10/1,四,"5,795"
2015/10/8,四,"5,990"
2015/10/15,四,"7,648"
2015/10/22,四,"4,331"
2015/10/29,四,"8,252"
2015/11/1,四,"14,133"
2015/11/8,四,"17,164"
2015/11/15,四,"17,217"
2015/11/22,四,"16,383"
2015/11/29,四,"16,100"
2015/12/3,四,"6,253"
2015/12/10,四,"5,595"
2015/12/17,四,"5,206"
2015/12/24,四,"9,059"
2015/12/31,四,"16,062"
2016/2/4,四,"6,009"
2016/2/11,四,"22,646"
2016/2/18,四,"5,692"
2016/2/25,四,"3,836"
2016/3/3,四,"5,915"
2016/3/10,四,"2,550"
2016/3/17,四,"5,560"
2016/3/24,四,"3,732"
2016/3/31,四,"9,095"
2016/4/7,四,"5,826"
2016/4/14,四,648
2016/4/21,四,"5,429"
2016/4/28,四,"4,355"
2016/6/2,四,292
2016/6/9,四,"4,759"
2016/6/16,四,"5,292"
2016/6/23,四,"2,441"
2016/6/30,四,"5,507"
2016/8/4,四,"6,215"
2016/8/11,四,"4,519"
2016/8/18,四,"7,342"
2016/8/25,四,"7,220"
2016/9/1,四,"3,852"
2016/9/8,四,"2,669"
2016/9/15,四,"7,182"
2016/9/22,四,"3,975"
2016/9/29,四,"3,264"
2016/10/6,四,"2,481"
2016/10/13,四,"8,561"
2016/10/20,四,231
2016/10/27,四,"5,429"
2016/11/3,四,"4,188"
2016/11/10,四,"3,697"
2016/11/17,四,"6,559"
2016/11/24,四,"4,041"
2016/12/1,四,"3,378"
2016/12/8,四,"5,720"
2016/12/15,四,"3,902"
2016/12/22,四,"4,351"
2016/12/29,四,"7,201"
2017/1/5,四,"5,456"
2017/1/12,四,"4,453"
2017/1/19,四,"4,443"
2017/1/26,四,"4,693"
2017/2/2,四,"13,039"
2017/2/9,四,"5,198"
2017/2/16,四,"6,464"
2017/2/23,四,"3,457"
2017/3/2,四,"2,889"
2017/3/9,四,"4,148"
2017/3/16,四,"3,440"
2017/3/23,四,"3,941"
2017/3/30,四,"5,426"
2017/4/6,四,"4,885"
2017/4/13,四,"5,915"
2017/4/20,四,"4,698"
2017/4/27,四,"2,621"
2017/5/4,四,"5,848"
2017/5/11,四,"2,577"
2017/5/18,四,"4,832"
2017/5/25,四,"2,601"
2017/6/1,四,"4,010"
2017/6/8,四,"4,107"
2017/7/6,四,"4,409"
2017/7/13,四,"5,595"
2017/7/20,四,"5,212"
2017/7/27,四,"6,122"
2017/8/3,四,"5,047"
2017/8/10,四,"5,661"
2017/8/17,四,"5,632"
2017/8/24,四,"5,633"
2017/8/31,四,"3,570"
2017/9/7,四,"3,604"
2017/9/14,四,"1,621"
2017/9/21,四,"3,709"
2017/9/28,四,"1,613"
2017/10/5,四,"6,547"
2017/10/12,四,"1,453"
2017/10/19,四,"2,496"
2017/10/26,四,"5,912"
2017/11/2,四,"5,261"
2017/11/9,四,"4,389"
2017/11/16,四,"7,050"
2017/11/23,四,"3,936"
2017/11/30,四,"4,071"
2017/12/7,四,"4,478"
2017/12/14,四,"5,829"
2017/12/21,四,"5,613"
2017/12/28,四,"8,454"
2018/1/4,四,"5,913"
2018/1/11,四,"3,907"
2018/1/18,四,"4,973"
2018/1/25,四,"6,026"
2018/2/1,四,"3,086"
2018/2/8,四,"3,283"
2018/2/22,四,"4,086"
2018/3/1,四,"3,214"
2018/3/8,四,"1,869"
2018/3/15,四,"5,858"
2018/3/22,四,"6,523"
2018/3/29,四,"6,648"
2018/4/5,四,"20,827"
2018/4/12,四,"1,764"
2018/4/19,四,"4,980"
2018/4/26,四,"5,820"
2018/5/3,四,"3,863"
2018/5/10,四,"5,043"
2018/5/31,四,"4,921"
2018/6/7,四,"4,271"
2018/6/14,四,"2,972"
2018/6/21,四,"3,164"
2018/6/28,四,"3,289"
2018/7/5,四,"5,212"
2018/7/12,四,"4,967"
2018/7/19,四,"5,540"
2018/7/26,四,"6,516"
2018/8/2,四,"5,950"
2018/8/9,四,"5,866"
2018/8/16,四,"6,252"
2018/8/23,四,"5,856"
2018/8/30,四,"1,642"
2018/9/6,四,"4,456"
2018/9/13,四,"4,773"
2018/9/20,四,"3,957"
2018/9/27,四,"3,773"
2018/10/4,四,"4,071"
2018/10/11,四,"2,602"
2018/10/18,四,"4,697"
2018/10/25,四,"6,079"
2018/11/1,四,"2,716"
2018/11/8,四,"4,999"
2018/11/15,四,"5,789"
2018/11/22,四,"3,266"
2018/11/29,四,"5,909"
2018/12/6,四,"5,248"
2018/12/13,四,"4,438"
2018/12/20,四,"6,362"
2018/12/27,四,"4,257"
2019/1/3,四,"4,021"
2019/1/10,四,"5,107"
2019/1/17,四,"3,576"
2019/1/24,四,"7,080"
2019/1/31,四,"6,337"
2019/2/7,四,"22,652"
2019/2/14,四,"7,581"
2019/2/21,四,"7,269"
2019/2/28,四,"15,156"
2019/3/7,四,"2,347"
2019/3/14,四,"5,640"
2019/3/21,四,"6,316"
2019/3/28,四,"6,209"
2019/4/4,四,"15,030"
2019/4/11,四,"3,679"
2019/4/18,四,"5,054"
2019/4/25,四,"6,103"
