營運日, 星期 , 總運量(單位：人次)
2018/11/6,二,"5,562"
2018/11/13,二,"5,130"
2018/11/20,二,"6,492"
2018/11/27,二,"5,279"
2018/12/4,二,"5,478"
2018/12/11,二,"4,708"
2018/12/18,二,"6,693"
2018/12/25,二,"8,560"
2019/1/1,二,"9,471"
2019/1/8,二,"3,477"
2019/1/15,二,"5,473"
2019/1/22,二,"5,111"
2019/1/29,二,"8,593"
2019/2/5,二,"19,669"
2019/2/12,二,"9,071"
2019/2/19,二,"6,799"
2019/2/26,二,"6,989"
2019/3/5,二,"3,003"
2019/3/12,二,"8,362"
2019/3/19,二,"6,532"
2019/3/26,二,"6,171"
2019/4/2,二,"4,772"
2019/4/9,二,"4,734"
2019/4/16,二,"3,699"
2019/4/23,二,"7,223"
2019/4/30,二,"8,146"
2015/1/7,三,"3,538"
2015/1/14,三,"3,619"
2015/1/21,三,"6,208"
2015/1/28,三,"5,378"
2015/2/4,三,"6,691"
2015/2/11,三,"10,710"
2015/2/25,三,"12,568"
2015/3/4,三,"3,270"
2015/3/11,三,"2,220"
2015/3/18,三,"9,026"
2015/3/25,三,"2,416"
2015/6/3,三,"4,053"
2015/6/10,三,"5,884"
2015/6/17,三,"5,142"
2015/6/24,三,"1,848"
2015/7/1,三,"6,204"
2015/7/15,三,"7,421"
2015/7/22,三,"9,400"
2015/7/29,三,"8,040"
2015/8/5,三,"5,505"
2015/8/19,三,"8,806"
2015/8/26,三,"9,702"
2015/9/2,三,"2,602"
2015/9/9,三,"6,314"
2015/9/16,三,"5,240"
2015/9/23,三,"6,019"
2015/9/30,三,"4,952"
2015/10/7,三,"8,215"
2015/10/14,三,"7,615"
2015/10/21,三,"7,804"
2015/10/28,三,"8,285"
2015/11/7,三,"15,726"
2015/11/14,三,"16,036"
2015/11/21,三,"14,387"
2015/11/28,三,"15,881"
2015/12/2,三,"7,290"
2015/12/9,三,"2,671"
2015/12/16,三,"6,158"
2015/12/23,三,"10,718"
2015/12/30,三,"8,316"
2016/2/3,三,"5,569"
2016/2/10,三,"21,493"
2016/2/17,三,"5,477"
2016/2/24,三,"3,304"
2016/3/2,三,"5,666"
2016/3/9,三,"4,495"
2016/3/16,三,"3,889"
2016/3/23,三,"2,735"
2016/3/30,三,"11,295"
2016/4/6,三,"6,332"
2016/4/13,三,"2,954"
2016/4/20,三,"5,764"
2016/4/27,三,"4,562"
2016/6/1,三,"4,692"
2016/6/8,三,"2,495"
2016/6/15,三,"5,376"
2016/6/22,三,"5,598"
2016/6/29,三,"2,870"
2016/8/3,三,"3,547"
2016/8/10,三,"6,742"
2016/8/17,三,"5,559"
2016/8/24,三,"6,961"
2016/8/31,三,"4,533"
2016/9/7,三,"4,565"
2016/9/21,三,"4,346"
2016/10/5,三,"6,543"
2016/10/12,三,"3,659"
2016/10/19,三,"4,602"
2016/10/26,三,"4,803"
2016/11/2,三,"3,793"
2016/11/9,三,"3,969"
2016/11/16,三,"5,481"
2016/11/23,三,"2,594"
2016/11/30,三,"4,395"
2016/12/7,三,"5,640"
2016/12/14,三,"4,261"
2016/12/21,三,"5,934"
2016/12/28,三,"6,038"
2017/1/4,三,"6,190"
2017/1/11,三,"4,769"
2017/1/18,三,"5,053"
2017/1/25,三,"4,016"
2017/2/1,三,"17,412"
2017/2/8,三,"9,736"
